channel,feature_name,feature_value,object_id,plate_column,plate_row,platedir,region,timepoint
1,q0_250,1489.0,34,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2001.0,34,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2569.0,34,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,6861.0,34,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,269.0,35,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1571.75,35,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2191.0,35,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2875.0,35,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8951.0,35,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,287.0,36,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1699.0,36,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2359.0,36,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3144.0,36,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8667.0,36,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,352.0,37,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1731.0,37,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2444.0,37,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3028.0,37,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,7946.0,37,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,322.0,38,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1960.0,38,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2470.0,38,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3106.0,38,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8798.0,38,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,302.0,39,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1998.0,39,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2520.0,39,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3259.0,39,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,11534.0,39,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,319.0,40,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,2019.0,40,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2530.0,40,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3219.0,40,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9155.0,40,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,384.0,41,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,2171.0,41,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2647.0,41,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3357.0,41,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9792.0,41,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,384.0,42,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,2031.0,42,2,A,200129MZ072BBB07,l100seg,72
